GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chris-ims,com.qa.ims.controller,itemController,47,73,0,2,13,20,4,6,4,5
chris-ims,com.qa.ims.controller,orderlineController,26,0,0,0,12,0,9,0,9,0
chris-ims,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
chris-ims,com.qa.ims.controller,CustomerController,2,108,0,2,1,30,1,7,1,6
chris-ims,com.qa.ims.controller,OrderController,128,0,2,0,35,0,8,0,7,0
chris-ims,com.qa.ims,Ims,197,59,20,3,54,12,18,4,4,3
chris-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
chris-ims,com.qa.ims.persistence.dao,ItemDaoMysql,242,132,2,0,61,27,11,6,10,6
chris-ims,com.qa.ims.persistence.dao,OrderDaoMysql,414,79,1,1,84,25,10,7,9,7
chris-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,216,157,2,0,59,31,10,7,9,7
chris-ims,com.qa.ims.services,OrderServices,38,0,0,0,11,0,7,0,7,0
chris-ims,com.qa.ims.services,itemsServices,35,0,0,0,12,0,8,0,8,0
chris-ims,com.qa.ims.services,CustomerServices,17,22,0,0,6,6,3,4,3,4
chris-ims,com.qa.ims.persistence.domain,Orderline,141,0,26,0,49,0,26,0,13,0
chris-ims,com.qa.ims.persistence.domain,Orders,7,158,4,18,3,44,3,21,0,13
chris-ims,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,10,3,3,2,3
chris-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
chris-ims,com.qa.ims.persistence.domain,Items,0,163,2,26,0,47,2,23,0,11
chris-ims,com.qa.ims.utils,Utils,34,0,0,0,8,0,4,0,4,0
